ObjectID,GlobalID,No Data Values - Enter 9999,Section,Reach,Length (m),Width (m),Depth (m),Temperature (Celsius),Dissolved Oxygen (%),Dissolved Oxygen (mg/L),pH,Conductivity,The size classes are as follows 1: 1000,Roach Juvenile,Roach Adult,Sucker Juvenile,Sucker Sub-Adult,Sucker Adult,Sculpin Juvenile,Sculpin Adult,Pikeminnow Juvenile,Pikeminnor Sub-Adult,Pikeminnow Adult,Unknown Cyprinid Juvenile,Unknown Cyprinid Adult,Brook Lamprey Ammocoete,Brook Lamprey Adult,Yellow-legged Frog Larvae,Yellow-legged Frog Metamorph,Yellow-legged Frog Froglet,Yellow-legged Frog Adult,Red-legged Frog Larvae,Red-legged Frog Metamorph,Red-legged Frog Froglet,Red-legged Frog Adult,Sierran Treefrog Larvae,Sierran Treefrog Metamorph,Sierran Treefrog Froglet,Sierran Treefrog Adult,California Toad Larvae,California Toad Metamorph,California Toad Adult,Rana Tadpole Sp. Unknown,Rana Metamorph Sp. Unknown,Rana Adult Sp. Unknown,California Newt Larvae,California Newt Adult,California Floater Mussel (live),California Floater Mussel (shell),Pond Turtle,Garter Snake,Other,Notes,ParentGlobalID,CreationDate,Creator,EditDate,Editor,x,y
1,0c66be0e-e1ba-48f2-a0ba-9757da4b0fdb,,lower,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d2a78f52-490a-45f8-a70c-ec3534c76fe2,10/17/2018 6:53:00 PM,smcarlson_UCANR,10/17/2018 6:53:00 PM,smcarlson_UCANR,-122.2648165958,37.872894848593
2,4443d7ea-7ed6-4d16-a5ff-2c4ecb586264,,lower,1,9999,9.7,0.72,12,67.1,7.52,8.37,683,,4,3,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,Bullfrog larvae >100,5d0c93a8-3158-4fb1-ae53-12092d1cb072,10/20/2018 12:59:55 AM,smcarlson_UCANR,10/20/2018 12:59:55 AM,smcarlson_UCANR,-121.473130715227,37.1036792644949
3,724d87d9-ff62-4740-89b3-adaed199587a,,lower,1,50,7.7,2,11.3,53.6,5.85,8.4,768,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,Bullfrog larvae <10,5d0c93a8-3158-4fb1-ae53-12092d1cb072,10/20/2018 12:59:55 AM,smcarlson_UCANR,10/20/2018 12:59:55 AM,smcarlson_UCANR,-121.47307,37.103745
4,3e29b944-c937-43e9-9215-22ce1de6efb6,,lower,1,0.58,0.41,0.06,7.5,51,6,7.95,972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5d0c93a8-3158-4fb1-ae53-12092d1cb072,10/20/2018 12:59:55 AM,smcarlson_UCANR,10/20/2018 12:59:55 AM,smcarlson_UCANR,-121.472615,37.1039166666667
5,af5cce03-3f05-4087-bb5a-999cdecace08,,lower,1,7.8,2.15,0.16,7.1,64.2,7.8,8.37,867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5d0c93a8-3158-4fb1-ae53-12092d1cb072,10/20/2018 12:59:55 AM,smcarlson_UCANR,10/20/2018 12:59:55 AM,smcarlson_UCANR,-121.472623333333,37.1038983333333
6,9331e28e-511a-43e3-8dec-ca934ca2305d,,lower,1,9999,8.5,0.84,11.3,89.2,9.67,8.87,927,,3,3,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,5d0c93a8-3158-4fb1-ae53-12092d1cb072,10/20/2018 12:59:55 AM,smcarlson_UCANR,10/20/2018 12:59:55 AM,smcarlson_UCANR,-121.472811666667,37.1046666666667
7,89d5ff56-8a92-4883-bd08-e8fdac4d3354,,lower,2,1.5,3.1,0.21,10.7,38.8,4.71,8.43,484.5,,2,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,5d0c93a8-3158-4fb1-ae53-12092d1cb072,10/20/2018 12:59:55 AM,smcarlson_UCANR,10/20/2018 12:59:55 AM,smcarlson_UCANR,-121.477383333333,37.11288
8,263028b6-c251-4a25-ad31-92958686a623,,lower,2,1.5,1,0.21,10.4,26.1,2.34,8.36,430.7,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5d0c93a8-3158-4fb1-ae53-12092d1cb072,10/20/2018 12:59:55 AM,smcarlson_UCANR,10/20/2018 12:59:55 AM,smcarlson_UCANR,-121.47739,37.1128183333333
9,90da356d-7678-4862-a92c-359eb2aa74c3,,lower,2,0.78,0.54,0.12,10.3,17.6,2.29,8.03,502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,5d0c93a8-3158-4fb1-ae53-12092d1cb072,10/20/2018 12:59:55 AM,smcarlson_UCANR,10/20/2018 12:59:55 AM,smcarlson_UCANR,-121.477361666667,37.1128216666667
10,64fa6027-1586-4b7c-be00-b95705846dfd,,lower,2,2.7,1.25,0.29,10.8,30.6,3.06,8.09,494.7,,2,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,5d0c93a8-3158-4fb1-ae53-12092d1cb072,10/20/2018 12:59:55 AM,smcarlson_UCANR,10/20/2018 12:59:55 AM,smcarlson_UCANR,-121.477285,37.1128883333333
